sample_id	assembly_mat	assembly_pat	population	accession_mat	accession_pat	sex	subdirectory
NA18974				NA18974_hap2_hprc_r2_v1.0.1	NA18974_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA18976				NA18976_hap2_hprc_r2_v1.0.1	NA18976_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA18982				NA18982_hap2_hprc_r2_v1.0.1	NA18982_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA18983				NA18983_hap2_hprc_r2_v1.0.1	NA18983_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA19036				NA19036_hap2_hprc_r2_v1.0.1	NA19036_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19043				NA19043_hap2_hprc_r2_v1.0.1	NA19043_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA19087				NA19087_hap2_hprc_r2_v1.0.1	NA19087_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19159				NA19159_hap2_hprc_r2_v1.0.1	NA19159_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19185				NA19185_hap2_hprc_r2_v1.0.1	NA19185_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19338				NA19338_hap2_hprc_r2_v1.0.1	NA19338_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19391				NA19391_hap2_hprc_r2_v1.0.1	NA19391_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19443				NA19443_hap2_hprc_r2_v1.0.1	NA19443_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA19468				NA19468_hap2_hprc_r2_v1.0.1	NA19468_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19682				NA19682_hap2_hprc_r2_v1.0.1	NA19682_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA19700				NA19700_hap2_hprc_r2_v1.0.1	NA19700_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA19776				NA19776_hap2_hprc_r2_v1.0.1	NA19776_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19835				NA19835_hap2_hprc_r2_v1.0.1	NA19835_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA19909				NA19909_hap2_hprc_r2_v1.0.1	NA19909_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA20282				NA20282_hap2_hprc_r2_v1.0.1	NA20282_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA20346				NA20346_hap2_hprc_r2_v1.0.1	NA20346_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20503				NA20503_hap2_hprc_r2_v1.0.1	NA20503_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA20752				NA20752_hap2_hprc_r2_v1.0.1	NA20752_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20762				NA20762_hap2_hprc_r2_v1.0.1	NA20762_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20799				NA20799_hap2_hprc_r2_v1.0.1	NA20799_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA20805				NA20805_hap2_hprc_r2_v1.0.1	NA20805_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20806				NA20806_hap2_hprc_r2_v1.0.1	NA20806_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20809				NA20809_hap2_hprc_r2_v1.0.1	NA20809_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20827				NA20827_hap2_hprc_r2_v1.0.1	NA20827_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20850				NA20850_hap2_hprc_r2_v1.0.1	NA20850_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20870				NA20870_hap2_hprc_r2_v1.0.1	NA20870_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA20905				NA20905_hap2_hprc_r2_v1.0.1	NA20905_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA21093				NA21093_hap2_hprc_r2_v1.0.1	NA21093_hap1_hprc_r2_v1.0.1	male	HPRC_release2
NA21102				NA21102_hap2_hprc_r2_v1.0.1	NA21102_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA21106				NA21106_hap2_hprc_r2_v1.0.1	NA21106_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA21110				NA21110_hap2_hprc_r2_v1.0.1	NA21110_hap1_hprc_r2_v1.0.1	female	HPRC_release2
NA21144				NA21144_hap2_hprc_r2_v1.0.1	NA21144_hap1_hprc_r2_v1.0.1	female	HPRC_release2
APR-F	210002_APR-F.hap2	210001_APR-F.hap1	MiddleEast			male	human579_assemblies
APR-M	210004_APR-M.hap2	210003_APR-M.hap1	MiddleEast			female	human579_assemblies
APR001	210006_APR001.hap2	210005_APR001.hap1	MiddleEast			female	human579_assemblies
APR002	210008_APR002.hap2	210007_APR002.hap1	MiddleEast			female	human579_assemblies
APR003	210010_APR003.hap2	210009_APR003.hap1	MiddleEast			male	human579_assemblies
APR004	210012_APR004.hap2	210011_APR004.hap1	MiddleEast			female	human579_assemblies
APR005	210014_APR005.hap2	210013_APR005.hap1	MiddleEast			male	human579_assemblies
APR006	210016_APR006.hap2	210015_APR006.hap1	MiddleEast			male	human579_assemblies
APR007	210018_APR007.hap2	210017_APR007.hap1	MiddleEast			female	human579_assemblies
APR008	210020_APR008.hap2	210019_APR008.hap1	MiddleEast			female	human579_assemblies
APR009	210022_APR009.hap2	210021_APR009.hap1	MiddleEast			female	human579_assemblies
APR010	210024_APR010.hap2	210023_APR010.hap1	MiddleEast			male	human579_assemblies
APR011	210026_APR011.hap2	210025_APR011.hap1	MiddleEast			female	human579_assemblies
APR012	210028_APR012.hap2	210027_APR012.hap1	MiddleEast			male	human579_assemblies
APR013	210030_APR013.hap2	210029_APR013.hap1	MiddleEast			male	human579_assemblies
APR014	210032_APR014.hap2	210031_APR014.hap1	MiddleEast			female	human579_assemblies
APR015	210034_APR015.hap2	210033_APR015.hap1	MiddleEast			female	human579_assemblies
APR016	210036_APR016.hap2	210035_APR016.hap1	MiddleEast			female	human579_assemblies
APR018	210038_APR018.hap2	210037_APR018.hap1	MiddleEast			female	human579_assemblies
APR019	210040_APR019.hap2	210039_APR019.hap1	MiddleEast			female	human579_assemblies
APR020	210042_APR020.hap2	210041_APR020.hap1	MiddleEast			female	human579_assemblies
APR021	210044_APR021.hap2	210043_APR021.hap1	MiddleEast			female	human579_assemblies
APR022	210046_APR022.hap2	210045_APR022.hap1	MiddleEast			female	human579_assemblies
APR023	210048_APR023.hap2	210047_APR023.hap1	MiddleEast			male	human579_assemblies
APR024	210050_APR024.hap2	210049_APR024.hap1	MiddleEast			male	human579_assemblies
APR025	210052_APR025.hap2	210051_APR025.hap1	MiddleEast			male	human579_assemblies
APR026	210054_APR026.hap2	210053_APR026.hap1	MiddleEast			male	human579_assemblies
APR027	210056_APR027.hap2	210055_APR027.hap1	MiddleEast			female	human579_assemblies
APR029	210058_APR029.hap2	210057_APR029.hap1	MiddleEast			female	human579_assemblies
APR030	210060_APR030.hap2	210059_APR030.hap1	MiddleEast			female	human579_assemblies
APR031	210062_APR031.hap2	210061_APR031.hap1	MiddleEast			female	human579_assemblies
APR032	210064_APR032.hap2	210063_APR032.hap1	MiddleEast			female	human579_assemblies
APR033	210066_APR033.hap2	210065_APR033.hap1	MiddleEast			male	human579_assemblies
APR034	210068_APR034.hap2	210067_APR034.hap1	MiddleEast			female	human579_assemblies
APR035	210070_APR035.hap2	210069_APR035.hap1	MiddleEast			female	human579_assemblies
APR036	210072_APR036.hap2	210071_APR036.hap1	MiddleEast			male	human579_assemblies
APR037	210074_APR037.hap2	210073_APR037.hap1	MiddleEast			female	human579_assemblies
APR038	210076_APR038.hap2	210075_APR038.hap1	MiddleEast			male	human579_assemblies
APR039	210078_APR039.hap2	210077_APR039.hap1	MiddleEast			male	human579_assemblies
APR040	210080_APR040.hap2	210079_APR040.hap1	MiddleEast			female	human579_assemblies
APR041	210082_APR041.hap2	210081_APR041.hap1	MiddleEast			male	human579_assemblies
APR042	210084_APR042.hap2	210083_APR042.hap1	MiddleEast			male	human579_assemblies
APR043	210086_APR043.hap2	210085_APR043.hap1	MiddleEast			female	human579_assemblies
APR044	210088_APR044.hap2	210087_APR044.hap1	MiddleEast			female	human579_assemblies
APR045	210090_APR045.hap2	210089_APR045.hap1	MiddleEast			male	human579_assemblies
APR046	210092_APR046.hap2	210091_APR046.hap1	MiddleEast			male	human579_assemblies
APR047	210094_APR047.hap2	210093_APR047.hap1	MiddleEast			female	human579_assemblies
APR048	210096_APR048.hap2	210095_APR048.hap1	MiddleEast			female	human579_assemblies
APR049	210098_APR049.hap2	210097_APR049.hap1	MiddleEast			male	human579_assemblies
APR050	210100_APR050.hap2	210099_APR050.hap1	MiddleEast			male	human579_assemblies
APR051	210102_APR051.hap2	210101_APR051.hap1	MiddleEast			male	human579_assemblies
APR052	210104_APR052.hap2	210103_APR052.hap1	MiddleEast			female	human579_assemblies
CN1	120002_CN1.mat	120001_CN1.pat	EastAsia			male	human579_assemblies
I002C	120008_I002C.mat	120007_I002C.pat	SouthAsia			male	human579_assemblies
KOREF1	120010_KOREF1.mat	120009_KOREF1.pat	EastAsia			male	human579_assemblies
KSA001	120006_KSA001.mat	120005_KSA001.pat	MiddleEast			female	human579_assemblies
YAO	120012_YAO.mat	120011_YAO.pat	EastAsia			male	human579_assemblies
